<Albi, isCapitalOf, France>
<Rüttenen, isCapitalOf, Switzerland>
<Moundou, isCapitalOf, Logone Occidental>
<Pet, isCapitalOf, U.S. state>
<Cevio, isCapitalOf, Ticino>
<Nas, isCapitalOf, U.S. state>
<Piacenza, isCapitalOf, Emilia-Romagna>
<Unterägeri, isCapitalOf, Zug>
<Parma, isCapitalOf, Emilia-Romagna>
<Hilfikon, isCapitalOf, Aargau>
<John, isCapitalOf, Newfoundland and Labrador>
<Cusco, isCapitalOf, Inca Empire>
<Büttikon, isCapitalOf, Aargau>
<Bielefeld, isCapitalOf, Germany>
<Neuss, isCapitalOf, Germany>
<Grind, isCapitalOf, Switzerland>
<Port Vila, isCapitalOf, Vanuatu>
<Thessaloniki, isCapitalOf, Macedonia>
<Hellikon, isCapitalOf, Aargau>
<Cresciano, isCapitalOf, Ticino>
<Province, isCapitalOf, Kohat District>
<Multan, isCapitalOf, Pun>
<Weimar, isCapitalOf, Germany>
<Baghdad, isCapitalOf, Abbasid Empire>
<Latina, isCapitalOf, Lazio>
<Birmingham, isCapitalOf, Alabama>
<Istanbul, isCapitalOf, Turkey>
<Basel, isCapitalOf, Basel>
<Cuxhaven, isCapitalOf, Cuxhaven>
<Alvaneu, isCapitalOf, Graubünden>
<Bregenz, isCapitalOf, Austria>
<Leibstadt, isCapitalOf, Aargau>
<Waterloo, isCapitalOf, Saint Helena>
<This, isCapitalOf, East>
<Hergiswil, isCapitalOf, Nidwalden>
<Portsmouth, isCapitalOf, England>
<Faido, isCapitalOf, Ticino>
<Skopje, isCapitalOf, Europe>
<Rennes, isCapitalOf, Brittany>
<Tiraspol, isCapitalOf, Transnistria>
<Międzyrzec Podlaski, isCapitalOf, Poland>
<Gela, isCapitalOf, Sicily>
<Car, isCapitalOf, Monaco>
<Bischofszell, isCapitalOf, Thurgau>
<Ittenthal, isCapitalOf, Aargau>
<Malvaglia, isCapitalOf, Ticino>
<Conthey, isCapitalOf, Conthey>
<Reşiţa, isCapitalOf, Romania>
<Merishausen, isCapitalOf, Schaffhausen>
<City, isCapitalOf, Quebec>
<Reutlingen, isCapitalOf, German>
<Hünenberg, isCapitalOf, Zug>
<Pun, isCapitalOf, Faisalabad District>
<Athens, isCapitalOf, American>
<Tawaret, isCapitalOf, Egypt>
<Münster-Geschinen, isCapitalOf, Valais>
<Kaiseraugst, isCapitalOf, Aargau>
<Suceava, isCapitalOf, Suceava County>
<Cagliari, isCapitalOf, Sardinia>
<Weinfelden, isCapitalOf, Thurgau>
<Schmiedrued, isCapitalOf, Aargau>
<Koror, isCapitalOf, Palau>
<Nanjing, isCapitalOf, China>
<City, isCapitalOf, United States>
<Andorra, isCapitalOf, Sardinia>
<Niederbuchsiten, isCapitalOf, Switzerland>
<Ankara, isCapitalOf, Turkey>
<Funafuti, isCapitalOf, Tuvalu>
<John, isCapitalOf, American>
<Ioannina, isCapitalOf, Ioannina>
<Wölflinswil, isCapitalOf, Aargau>
<Le Havre, isCapitalOf, France>
<Armorica, isCapitalOf, Gaul>
<Sarmenstorf, isCapitalOf, Aargau>
<John, isCapitalOf, Antigua>
<Almaty, isCapitalOf, Kazakhstan>
<Bordeaux, isCapitalOf, France>
<Manacor, isCapitalOf, Major>
<Dublin, isCapitalOf, the Republic of Ireland>
<Murcia, isCapitalOf, Murcia>
<Empire, isCapitalOf, Mauritania>
<Agrigento, isCapitalOf, Sicily>
<Prefecture, isCapitalOf, Honshū>
<Regensburg, isCapitalOf, Germany>
<Pun, isCapitalOf, Dera Ghazi Khan District>
<Raron, isCapitalOf, Raron>
<Luterbach, isCapitalOf, Switzerland>
<Lostorf, isCapitalOf, Switzerland>
<Deventer, isCapitalOf, Netherlands>
<Bangui, isCapitalOf, Central African Republic>
<Volterra, isCapitalOf, Tuscany>
<Tor, isCapitalOf, Canada>
<Province, isCapitalOf, Abbottabad District>
<Mbabane, isCapitalOf, Africa>
<Malé, isCapitalOf, Maldives>
<Rheinstetten, isCapitalOf, Germany>
<Jamshoro, isCapitalOf, Jamshoro District>
<Bochum, isCapitalOf, North Rhine-Westphalia>
<Dublin, isCapitalOf, Republic of Ireland>
<Switzerland, isCapitalOf, Leuk>
<Pardubice, isCapitalOf, Czech Republic>
<Kigali, isCapitalOf, Rwanda>
<Belfast, isCapitalOf, Northern Ireland>
<Aeschi, isCapitalOf, Switzerland>
<Carrara, isCapitalOf, Massa>
<Herbetswil, isCapitalOf, Switzerland>
<Ramsen, isCapitalOf, Schaffhausen>
<Palikir, isCapitalOf, Federated States of Micronesia>
<Bellinzona, isCapitalOf, Canton>
<Hofstetten-Flüh, isCapitalOf, Switzerland>
<Salzgitter, isCapitalOf, German>
<Dornach, isCapitalOf, Switzerland>
<Honiara, isCapitalOf, Solomon Islands>
<Allmendingen bei Bern, isCapitalOf, Switzerland>
<Ozámiz, isCapitalOf, Philippines>
<Tägerig, isCapitalOf, Aargau>
<Brugg, isCapitalOf, Aargau>
<Beggingen, isCapitalOf, Schaffhausen>
<Schwerin, isCapitalOf, Mecklenburg-Western Pomerania>
<Riyadh, isCapitalOf, Saudi Arabia>
<Maceió, isCapitalOf, Alagoas>
<Pommera, isCapitalOf, Switzerland>
<Würzburg, isCapitalOf, German>
<Bandar Seri Begawan, isCapitalOf, Brunei>
<River, isCapitalOf, Pakistan>
<Ghirone, isCapitalOf, Ticino>
<Somerton, isCapitalOf, Kingdom>
<Kreuzlingen, isCapitalOf, Thurgau>
<Alcalá de Henares, isCapitalOf, Community>
<Bedretto, isCapitalOf, Ticino>
<Moscow, isCapitalOf, Russia>
<Wuppertal, isCapitalOf, Germany>
<Velikiy Novgorod, isCapitalOf, Europe>
<Brazzaville, isCapitalOf, Republic of the Congo>
<Constantinople, isCapitalOf, Roman Empire>
<Etruscan civilization, isCapitalOf, Italy>
<Bangalore, isCapitalOf, Indian>
<Celt, isCapitalOf, France>
<Eggerberg, isCapitalOf, Valais>
<Simferopol, isCapitalOf, Crime>
<Stein am Rhein, isCapitalOf, Schaffhausen>
<Soubey, isCapitalOf, Switzerland>
<Korba, isCapitalOf, Indian>
<Ohio, isCapitalOf, Ohio>
<Taranto, isCapitalOf, Apulia>
<Tao, isCapitalOf, Taiwan>
<Gänsbrunnen, isCapitalOf, Switzerland>
<Le Noirmont, isCapitalOf, Switzerland>
<Wit, isCapitalOf, Aargau>
<Mallorca, isCapitalOf, Mallorca>
<Province, isCapitalOf, Charsadda District>
<Rule, isCapitalOf, Sindh>
<London, isCapitalOf, England>
<Tobel-Tägerschen, isCapitalOf, Thurgau>
<Jordan, isCapitalOf, Salt>
<Steckborn, isCapitalOf, Thurgau>
<Avignon, isCapitalOf, France>
<Mund, isCapitalOf, Valais>
<Bellach, isCapitalOf, Switzerland>
<Jonen, isCapitalOf, Aargau>
<Albi, isCapitalOf, Switzerland>
<Gießen, isCapitalOf, German>
<Municipality, isCapitalOf, Nova Scotia>
<Kilauea, isCapitalOf, Hawaii>
<Gentilino, isCapitalOf, Ticino>
<Dong Zhuo, isCapitalOf, China>
<Salvador, isCapitalOf, Brazil>
<Naples, isCapitalOf, Campania>
<Haiphong, isCapitalOf, Vietnam>
<Linescio, isCapitalOf, Ticino>
<Florence, isCapitalOf, Tuscany>
<Yaoundé, isCapitalOf, Republic>
<Suwałki, isCapitalOf, Suwałki>
<Les Enfers, isCapitalOf, Switzerland>
<Turin, isCapitalOf, Piedmont>
<Muri, isCapitalOf, Aargau>
<Lemur, isCapitalOf, Madagascar>
<Delhi, isCapitalOf, Republic>
<Pun, isCapitalOf, Bhakkar District>
<Bilbao, isCapitalOf, Basque Country>
<Braunau am Inn, isCapitalOf, Austria>
<Thimphu, isCapitalOf, Bhutan>
<Recklinghausen, isCapitalOf, German>
<Budapest, isCapitalOf, Hungary>
<Stans, isCapitalOf, Nidwalden>
<Birmingham, isCapitalOf, American>
<Dadu, isCapitalOf, Dadu District>
<Eggenwil, isCapitalOf, Aargau>
<Hermetschwil-Staffeln, isCapitalOf, Aargau>
<Wolfsburg, isCapitalOf, German>
<Tashkent, isCapitalOf, Uzbekistan>
<Gontenschwil, isCapitalOf, Aargau>
<Metzerlen-Mariastein, isCapitalOf, Switzerland>
<Berlin, isCapitalOf, Germany>
<Menzingen, isCapitalOf, Zug>
<Roman, isCapitalOf, Colchester>
<Sassari, isCapitalOf, Sardinia>
<Messina, isCapitalOf, Sicily>
<Diessenhofen, isCapitalOf, Thurgau>
<Tenerife, isCapitalOf, Canary Islands>
<Oeschgen, isCapitalOf, Aargau>
<Adana, isCapitalOf, Adana>
<Halten, isCapitalOf, Switzerland>
